roll,pitch,yaw,x,y,z
-1.58858,-0.0163387,-1.53417,0.194541,0.0584179,-0.0457983
-1.58476,-0.0149077,-1.53193,0.19196,0.0521566,-0.0609931
-1.60999,-0.0233722,-1.56047,0.18723,0.158135,0.0340754
-1.60568,-0.00818731,-1.56537,0.19748,0.16494,0.00675254
-1.61924,-0.0266279,-1.56237,0.193393,0.167495,0.0618471
-1.59516,-0.00948545,-1.56661,0.19301,0.170818,-0.0289771
-1.58711,-0.00186426,-1.53862,0.189304,0.0722038,-0.0511819
-1.60295,-0.00720333,-1.55869,0.185929,0.140837,0.00256322
-1.58804,-0.014115,-1.52508,0.193071,0.0273724,-0.037643
-1.59255,-0.0516909,-1.54184,0.179413,0.103387,-0.0182931
-1.57442,-0.0273049,-1.52839,0.188047,0.0424764,-0.0891076
-1.58862,-0.0165029,-1.53246,0.191307,0.0534271,-0.0512118
-1.57627,-0.0211318,-1.56804,0.183723,0.185953,-0.0892997
-1.60823,-0.0234111,-1.56358,0.186632,0.161872,0.0164172
-1.59411,-0.0531263,-1.54125,0.173803,0.101691,-0.0106215
-1.59794,-0.0112398,-1.5634,0.192523,0.156821,-0.0209485
-1.59822,-0.0101442,-1.56345,0.188802,0.162599,-0.0186958
-1.6033,-0.0287008,-1.57044,0.189249,0.195836,0.00596846
-1.58196,-0.0106819,-1.53279,0.186872,0.0526905,-0.0669329
-1.59412,-0.0240321,-1.57285,0.185142,0.201262,-0.0289135
-1.60082,-0.0214742,-1.56388,0.188115,0.171397,-0.00422449
-1.57942,-0.0159776,-1.55376,0.183591,0.131357,-0.0802775
-1.61156,-0.0248446,-1.56806,0.180111,0.189693,0.0400319
-1.58479,-0.0101766,-1.5604,0.185936,0.152551,-0.0654923
-1.58174,-0.0171888,-1.52736,0.19589,0.033801,-0.072805
-1.5857,-0.0110418,-1.56925,0.191183,0.178601,-0.0630053
-1.5855,-0.0155266,-1.53601,0.184427,0.0687112,-0.0520377
-1.59467,-0.00900631,-1.5624,0.184044,0.156252,-0.0267152
-1.57947,-0.0163368,-1.53289,0.193217,0.0527396,-0.0803339
-1.57668,-0.0146809,-1.55116,0.178894,0.126747,-0.0837854
-1.58332,-0.00684233,-1.5462,0.186207,0.0992018,-0.066163
-1.59966,-0.0122518,-1.5656,0.192292,0.168736,-0.0115011
-1.58954,-0.0424561,-1.5597,0.183587,0.172897,-0.031376
-1.58573,-0.0548737,-1.55177,0.176419,0.14141,-0.0443325
-1.57252,-0.00493376,-1.53998,0.191099,0.0769381,-0.105558
-1.57987,-0.00406833,-1.55,0.196139,0.111715,-0.0839614
-1.58678,-0.0177106,-1.55499,0.182068,0.137565,-0.0517403
-1.58027,-0.0205597,-1.5604,0.185755,0.160997,-0.0752392
-1.5697,-0.00536439,-1.53624,0.186836,0.0674411,-0.11274
-1.57995,-0.0268902,-1.56794,0.183112,0.188296,-0.0756427
-1.60472,-0.0113808,-1.56931,0.17885,0.182493,0.00867454
-1.60665,-0.0115561,-1.55929,0.179237,0.157383,0.0248589
-1.58896,-0.00547916,-1.53589,0.183582,0.0587015,-0.0427615
-1.597,-0.00337107,-1.57279,0.168979,0.203687,-0.0204356
-1.59165,-0.0439788,-1.55625,0.179125,0.163083,-0.0216752
-1.57993,-0.0147175,-1.52782,0.19492,0.0371685,-0.0701639
-1.59483,-0.0122251,-1.57125,0.174064,0.198546,-0.022868
-1.60397,-0.00605768,-1.54892,0.188012,0.0982439,-0.00364569
-1.58882,-0.0373748,-1.57096,0.166518,0.216788,-0.032037
-1.58645,-0.0154204,-1.52959,0.186918,0.0463563,-0.0434267
